f=-4.19037	 argmax_ovl=0.732571	 
argmax_configuration:
0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0 1 

marginals:
0.596193 0.403807 
0.59957 0.40043 
0.145003 0.854997 
0.469276 0.530724 
0.642773 0.357227 
0.751913 0.248087 
0.0167581 0.983242 
0.223814 0.776186 
0.641143 0.358857 
0.631218 0.368782 
0.070833 0.929167 
0.433691 0.566309 
0.37615 0.62385 
0.344001 0.655999 
0.359618 0.640382 
0.802286 0.197714 
0.606731 0.393269 
0.806274 0.193726 
0.55323 0.44677 
0.87662 0.12338 
0.153048 0.846952 
0.307968 0.692032 
0.87997 0.12003 
0.0548974 0.945103 
0.850272 0.149728 
0.540655 0.459345 
0.469607 0.530393 
0.188086 0.811914 
0.391712 0.608288 
0.0987217 0.901278 
0.374575 0.625425 
0.361161 0.638839 
0.209738 0.790262 
0.883787 0.116213 
0.850925 0.149075 
0.737401 0.262599 
0.748101 0.251899 
0.422068 0.577932 
0.463856 0.536144 
0.55484 0.44516 
0.684058 0.315942 
0.144722 0.855278 
0.143851 0.856149 
0.127288 0.872712 
0.423119 0.576881 
0.673913 0.326087 
0.10353 0.89647 
0.777782 0.222218 
0.174466 0.825534 
0.06442 0.93558 
0.293115 0.706885 
0.688521 0.311479 
0.583633 0.416367 
0.747959 0.252041 
0.240254 0.759746 
0.564964 0.435036 
0.312869 0.687131 
0.109343 0.890657 
0.264316 0.735684 
0.607003 0.392997 
0.0496464 0.950354 
0.156638 0.843362 
0.840081 0.159919 
0.523394 0.476606 
0.6489 0.3511 
0.230427 0.769573 
0.310376 0.689624 
0.696967 0.303033 
0.419848 0.580152 
0.025197 0.974803 
0.0403685 0.959632 
0.808796 0.191204 
0.834741 0.165259 
0.578865 0.421135 
0.0718241 0.928176 
0.910353 0.0896472 
0.123678 0.876322 
0.398014 0.601986 
0.953095 0.0469049 
0.399931 0.600069 
0.702806 0.297194 
0.150621 0.849379 
0.430382 0.569618 
0.0799429 0.920057 
0.167222 0.832778 
0.447355 0.552645 
0.295071 0.704929 
0.962334 0.0376656 
0.285907 0.714093 
0.582826 0.417174 
0.757749 0.242251 
0.905545 0.0944552 
0.397442 0.602558 
0.709742 0.290258 
0.689535 0.310465 
0.810825 0.189175 
0.505666 0.494334 
0.226412 0.773588 
0.220507 0.779493 
0.0219437 0.978056 
0.606163 0.393837 
0.801727 0.198273 
0.306139 0.693861 
0.405849 0.594151 
0.683027 0.316973 
0.793099 0.206901 
0.435341 0.564659 
0.855894 0.144106 
0.184624 0.815376 
0.741822 0.258178 
0.936748 0.0632518 
0.978463 0.021537 
0.416578 0.583422 
0.521323 0.478677 
0.372391 0.627609 
0.550771 0.449229 
0.38281 0.61719 
0.635213 0.364787 
0.0658332 0.934167 
0.637453 0.362547 
0.911605 0.0883948 
0.488287 0.511713 
0.917227 0.0827729 
0.276258 0.723742 
0.136106 0.863894 
0.293267 0.706733 
0.278487 0.721513 
0.739315 0.260685 
0.952479 0.0475206 
0.758275 0.241725 
0.427616 0.572384 
0.292777 0.707223 
0.40821 0.59179 
0.334383 0.665617 
0.904715 0.0952847 
0.472189 0.527811 
0.977326 0.0226743 
0.821938 0.178062 
0.679335 0.320665 
0.387376 0.612624 
0.889077 0.110923 
0.508781 0.491219 
0.462371 0.537629 
0.815032 0.184968 
0.904747 0.095253 
0.606818 0.393182 
0.438452 0.561548 
0.493951 0.506049 
0.299317 0.700683 
0.462774 0.537226 
0.702194 0.297806 
0.882693 0.117307 
0.0569941 0.943006 
0.624654 0.375346 
0.993614 0.00638649 
0.269474 0.730526 
0.143184 0.856816 
0.205215 0.794785 
0.485212 0.514788 
0.239407 0.760593 
0.30673 0.69327 
0.295896 0.704104 
0.0460406 0.953959 
0.727371 0.272629 
0.25264 0.74736 
0.584069 0.415931 
0.479213 0.520787 
0.304853 0.695147 
0.985953 0.0140475 
0.434971 0.565029 
0.666801 0.333199 
0.3999 0.6001 
0.588318 0.411682 
0.909488 0.0905116 
0.225467 0.774533 
0.721173 0.278827 
0.433823 0.566177 
0.302427 0.697573 
0.952011 0.047989 
0.136501 0.863499 
0.383327 0.616673 
0.729432 0.270568 
0.704219 0.295781 
0.442469 0.557531 
0.143153 0.856847 
0.605392 0.394608 
0.500346 0.499654 
0.389147 0.610853 
0.76776 0.23224 
0.4757 0.5243 
0.241596 0.758404 
0.807897 0.192103 
0.307844 0.692156 
0.745179 0.254821 
0.896861 0.103139 
0.124855 0.875145 
0.217222 0.782778 
0.156863 0.843137 
0.957586 0.042414 
0.265093 0.734907 

argmax_marginals:
